Description,Field Name,Values
"Quality matters for these consumers and they are willing to pay more for fresh ingredients, durable materials and quality craftsmanship",TrueTouch: Quality matters,"1=Extremely Likely,2=Highly likely,3=Very likely,4=Somewhat Likely,5=Likely,6=Somewhat unlikely,7=Very unlikely,8=highly unlikely,9=Extremely Unlikely,"
"These spenders find it difficult to say 'no' to things that catch their eyes. They recognize they are ""spenders"" rather than ""savers"" and appreciate a convenient purchase opportunity. Top of mind = In the cart.",TrueTouch: In the moment shoppers,"1=Extremely Likely,2=Highly likely,3=Very likely,4=Somewhat Likely,5=Likely,6=Somewhat unlikely,7=Very unlikely,8=highly unlikely,9=Extremely Unlikely,"
"Trendy by association, these consumers enjoy following the latest trends set by innovators. They appreciate understanding what the trendsetters are buying these days.",TrueTouch: Mainstream adopters,"1=Extremely Likely,2=Highly likely,3=Very likely,4=Somewhat Likely,5=Likely,6=Somewhat unlikely,7=Very unlikely,8=highly unlikely,9=Extremely Unlikely,"
These consumers dislike the same ol' and prefer to try new brands or new options. Variety is the spice of life.,TrueTouch: Novelty seekers,"1=Extremely Likely,2=Highly likely,3=Very likely,4=Somewhat Likely,5=Likely,6=Somewhat unlikely,7=Very unlikely,8=highly unlikely,9=Extremely Unlikely,"
"Median Estimated Household Income Range V6 is the total estimated income for a living unit, and incorporates several highly predictive individual and household level variables. The income estimation is determined using multiple statistical methodologies to predict the income estimate for the living unit. Represents the median value of the ZIP/ZIP4.",Median: Est HH Income Range V6,"A=A=$1,000-$14,999,B=B=$15,000-$24,999,Blank=Unknown,C=C=$25,000-$34,999,D=D=$35,000-$49,999,E=E=$50,000-$74,999,F=F=$75,000-$99,999,G=G=$100,000-$124,999,H=H=$125,000-$149,999,I=I=$150,000-$174,999,J=J=$175,000-$199,999,K=K=$200,000-$249,999,L=L=$250,000+,U=U=Unknown,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Broadcast Cable TV,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Broadcast Cable TV,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Digital Display,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Digital Display,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Direct Mail,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Direct Mail,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Digital Newspaper,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Digital Newspaper,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Digital Video,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Digital Video,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Radio,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Radio,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Streaming TV,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Streaming TV,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Traditional Newspaper,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Traditional Newspaper,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",Person 1: TrueTouch Eng: Mobile SMS MMS,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but a consumers most receptive communication channel. This attribute is based on consumers reporting their preference to learn about brands through this channel.",TrueTouch Eng: Mobile SMS MMS,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,Blank=Not Scored,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases via Online Deal Vouchers like Groupon or LivingSocial.",Person 1: TT Conv: Online Deal Voucher,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases via Online Deal Vouchers like Groupon or LivingSocial.",TT Conv: Online Deal Voucher,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases in online or brick and mortal discount superstores like walmart.com or Target",Person 1: TT Conv: Discount Supercenters,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases in online or brick and mortal discount superstores like walmart.com or Target",TT Conv: Discount Supercenters,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases on Ebid sites like eBay and other marketplaces where bidding or negotiating pricing is typical.",Person 1: TT Conv: Ebid Sites,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases on Ebid sites like eBay and other marketplaces where bidding or negotiating pricing is typical.",TT Conv: EBid Sites,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases on Etail only sites such as Zappos.com or Etsy.com.",Person 1: TT Conv Conv: Etail only,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases on Etail only sites such as Zappos.com or Etsy.com.",TT Conv: Etail only,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar stores that are considered mid- to high-end retailers like Macy's, Neiman Marcus and Nordstrom",Person 1: TT Conv: Mid-High End Store,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar stores that are considered mid- to high-end retailers like Macy's, Neiman Marcus and Nordstrom",TT Conv: Mid-High End Store,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar specialty department stores such as Home Depot (Paint and Plumbing departments) or Bed Bath & Beyond (Bedding and Décor departments)",Person 1: TT Conv Conv: Specialty Dept Store,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar specialty department stores such as Home Depot (Paint and Plumbing departments) or Bed Bath & Beyond (Bedding and Décor departments)",TT Conv: Specialty Dept Store,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar wholesale stores like Costo, Sams and Overstock.com",Person 1: TT Conv Conv: Wholesale,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar wholesale stores like Costo, Sams and Overstock.com",TT Conv: Wholesale,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar specialty stores and boutiques such as Victoria's Secret, Pottery Barn, J. Crew and more.",Person 1: TT Conv Conv: Specialty or Boutique,"0=No Data available-on fixed formats only,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
"TrueTouch is a patented advertising receptivity solution that helps determine not only the messaging style, but also the preferred communication and conversion channels. This TrueTouch Conversion Channel attribute predicts a person's likelihood to make purchases at online or brick and mortar specialty stores and boutiques such as Victoria's Secret, Pottery Barn, J. Crew and more.",TT Conv: Specialty or Boutique,"0=Unknown,1=Extremely Likely,2=Highly Likely,3=Very Likely,4=Somewhat Likely,5=Likely,6=Somewhat Unlikely,7=Very Unlikely,8=Highly Unlikely,9=Extremely Unlikely,"
Average number of auto loan and lease trades,Average number of auto loan and lease trades,Number
Average number of auto loan trades,Average number of auto loan trades,Number
Average number of revolving bankcard trades,,Number
Average number of external collection trades,Average number of external collection trades,Number
Average number of installment trades,Average number of installment trades,Number
Average number of mortgage type trades,,number
Average monthly payment on open first mortgage trades reported in the last 6 months,Average monthly payment on open first mortgage trades reported in the last 6 months,number
Average number of second mortgage trades,Average number of second mortgage trades,number
Average monthly payment on open second mortgage trades reported in the last 6 months,Average monthly payment on open second mortgage trades reported in the last 6 months,number
Average number of revolving trades,Average number of revolving trades,number
"VantageScore is part of Experian Premier Summarized Credit Statistics (PSCS) and calculated by aggregating the available consumer credit data in a ZIP+4. VantageScore is a a predictive and consistent scoring model, Used across the three Credit Reporting Companies. Predicts the likelihood of future serious delinquencies (90 days late or greater) on any type of account. Values (Implied Decimal): 999v99. Score range of 300-850 (higher scores = lower likelihood of risk). 781850 Super prime 661780. Prime 601660 Nonprime 500600 Subprime 300499 Deep subprime",Overall Financial Health Score,Score range of 300-850 (higher scores = lower likelihood of risk). 781850 Super prime 661780. Prime 601660 Nonprime 500600 Subprime 300499 Deep subprime
"High vs. Low Affluence Score is a CAPE factor variable. Five digit whole number,"" no decimals. Valid values: 00001-99999. For this factor, a higher score would point to more affluent neighborhoods. A low score would designate less affluent areas.The following variables were used to create this factor. All have positive loadings except % High School Grad.CAPE: Education: Pop25+: % Bachelor DegreeCAPE: HH: % Household Income $150-199KCAPE: HH: Median Income Householder Age 45-54CAPE: HH: Median Non-Family Household IncomeCAPE: HH: Med Inc Householder Age 35-44CAPE: Industry: Employed: % Professional, Science, and Technical ServicesCAPE: HH: % Household Income $125-149KCAPE: HH: Median Income Householder Age 25-34CAPE: Home Value: OO HU: % Home Value $750-999KCAPE: Rent: % Cash Rent $2,000 or MoreCAPE: Occupation: Employed: % ManagementCAPE: Home Value: OO HU: % Home Value $1M or MoreCAPE: Occupation: Employed: % LegalCAPE: Education: Pop25+: % High School Grad",Affluence Score,"Valid values: 00001-99999. For this factor, a higher score would point to more affluent neighborhoods. A low score would designate less affluent areas."
